FID IID POP
HG02497 HG02497 AFR
HG02501 HG02501 AFR
HG02502 HG02502 AFR
HG02505 HG02505 AFR
HG02508 HG02508 AFR
HG02511 HG02511 AFR
HG02512 HG02512 EAS
HG02513 HG02513 EAS
HG02521 HG02521 EAS
HG02522 HG02522 EAS
HG02536 HG02536 AFR
HG02537 HG02537 AFR
HG02541 HG02541 AFR
HG02545 HG02545 AFR
HG02546 HG02546 AFR
HG02549 HG02549 AFR
HG02554 HG02554 AFR
HG02555 HG02555 AFR
HG02557 HG02557 AFR
HG02558 HG02558 AFR
HG02561 HG02561 AFR
HG02562 HG02562 AFR
HG02568 HG02568 AFR
HG02570 HG02570 AFR
HG02571 HG02571 AFR
HG02573 HG02573 AFR
HG02574 HG02574 AFR
HG02577 HG02577 AFR
HG02580 HG02580 AFR
HG02582 HG02582 AFR
HG02583 HG02583 AFR
HG02585 HG02585 AFR
HG02586 HG02586 AFR
