trait,delta,candidate,mean,sd,lo95,hi95,source
Stroke,0.01,MELD_lambda0_afproj,0.89934531888779,0.00967546525691422,0.879084405562916,0.916963812997525,R8_1KG_on_R9blocks
Stroke,0.01,MELD_lambda0_reportN,0.899939626873722,0.00950103719080512,0.881124447434003,0.917775982529722,R8_1KG_on_R9blocks
Stroke,0.01,MELD_lambda0_equal,0.891226359741781,0.0099090485373844,0.870341632374506,0.90948762082833,R8_1KG_on_R9blocks
Stroke,0.01,MELD_lambda1_afproj,0.900414194463879,0.00929206173418057,0.881331999377,0.917713516208401,R8_1KG_on_R9blocks
Stroke,0.01,EUR,0.855539816117663,0.0130105043058865,0.829056441132355,0.878860341519044,R8_1KG_on_R9blocks
Stroke,0.01,EAS,0.832232703088912,0.0147161395001907,0.802859002768644,0.859115778129297,R8_1KG_on_R9blocks
Stroke,0.01,AFR,0.675865891642741,0.0220514585355183,0.631615397687937,0.719302004955491,R8_1KG_on_R9blocks
Stroke,0.01,CSA,0.844849219347575,0.0134982581792461,0.817417265208543,0.871238340327683,R8_1KG_on_R9blocks
Stroke,0.01,AMR,0.827366920934189,0.0146879443259812,0.798441485594483,0.856657336998407,R8_1KG_on_R9blocks
VTE,0.01,MELD_lambda0_afproj,0.886901421803205,0.00896154140546324,0.868865906606758,0.903231909332353,R8_1KG_on_R9blocks
VTE,0.01,MELD_lambda0_reportN,0.887303999915454,0.00877624844815173,0.868909678271035,0.902838812850963,R8_1KG_on_R9blocks
VTE,0.01,MELD_lambda0_equal,0.868658499882563,0.0109512108731799,0.846322960835063,0.888725246789732,R8_1KG_on_R9blocks
VTE,0.01,MELD_lambda1_afproj,0.887302294080749,0.00850438155678872,0.869480228497346,0.902914985509566,R8_1KG_on_R9blocks
VTE,0.01,EUR,0.872469513883637,0.0095906420469979,0.853420868931026,0.890465558527651,R8_1KG_on_R9blocks
VTE,0.01,EAS,0.745842752844009,0.0176798012847451,0.710414482680064,0.779920178807562,R8_1KG_on_R9blocks
VTE,0.01,AFR,0.671570276614894,0.0232032541262614,0.625106028056275,0.716121487794247,R8_1KG_on_R9blocks
VTE,0.01,CSA,0.827056649212294,0.0125497963227993,0.802143221415827,0.851415977299221,R8_1KG_on_R9blocks
VTE,0.01,AMR,0.811372904522038,0.0156362806149556,0.7801567601845,0.840966710070896,R8_1KG_on_R9blocks
Asthma,0.01,MELD_lambda0_afproj,0.916856108178389,0.00940000090459223,0.898267339410057,0.934987213617369,R8_1KG_original_blocks
Asthma,0.01,MELD_lambda0_reportN,0.917121935803623,0.00947766555983054,0.898361619572497,0.935480432140029,R8_1KG_original_blocks
Asthma,0.01,MELD_lambda0_equal,0.901440953040805,0.0105066588713088,0.879998623185175,0.920953789266244,R8_1KG_original_blocks
