trait,sweep_kind,sweep_id,best_sp_name,adv,adv_lo,adv_hi,eff_groups,mean_B_diag
IPF,EUR_EAS,EUR_EAS_06,EUR,0.0507177002292183,0.0375870454237469,0.0622336782471134,2,0.0367905910090002
IPF,EUR_EAS,EUR_EAS_07,EUR,0.0500580731277545,0.0369184695358162,0.0632961593873318,1.92307692307692,0.0353189673686402
IPF,EUR_EAS,EUR_EAS_08,EUR,0.0311059310451058,0.0224000554413691,0.0406255032354355,1.72413793103448,0.0309040964475602
IPF,EUR_EAS,EUR_EAS_09,EUR,0.0225563984818241,0.0139552362908351,0.0314767117956415,1.47058823529412,0.0235459782457601
IPF,EUR_EAS,EUR_EAS_10,EUR,0.0158763986967834,0.00853325393289371,0.021845411846027,1.21951219512195,0.0132446127632401
IPF,EUR_EAS,EUR_EAS_11,EUR,3.13002382593365e-17,-1.51432480055336e-15,1.51928222643631e-15,1,0
IPF,multi,equal,AMR,0.14467561840714,0.11132726353364,0.177439276132632,4,0.0473286544016285
IPF,multi,reported,EUR,0.0321685769104331,0.0221549878814851,0.0406822919662169,1.55795668642643,0.0252249100746359
IPF,multi,w25rest,AMR,0.155989245761315,0.123525272000071,0.188525903908787,4,0.0473286544016285
IPF,multi,w50rest,EUR,0.122682247652065,0.102111189705269,0.146727918182887,3,0.0386916521932226
Stroke,EUR_AFR,EUR_AFR_01,AFR,0.000111476921559321,-7.00260411402253e-06,0.000364411616104838,1,0
Stroke,EUR_AFR,EUR_AFR_02,AFR,0.0745105724855018,0.0580745014087808,0.0902547747631399,1.21951219512195,0.012599764130613
Stroke,EUR_AFR,EUR_AFR_03,AFR,0.074054220093425,0.0573087287176543,0.090061105603559,1.47058823529412,0.0223995806766453
Stroke,EUR_AFR,EUR_AFR_04,AFR,0.10362103419693,0.0803868438139333,0.124838545621118,1.72413793103448,0.029399449638097
Stroke,EUR_AFR,EUR_AFR_05,AFR,0.131009317430573,0.113304519700263,0.14775405430254,1.92307692307692,0.033599371014968
Stroke,EUR_AFR,EUR_AFR_06,EUR,0.106179525972438,0.0788583759002974,0.132666778529181,2,0.0349993448072583
