chr,block_id,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,delta,r2_l0,r2_l1,diff
22,4,0.5,1,270,0.00106989858366852,0.0843831963630005,0.001,0.777271423150231,0.768048882017578,-0.00922254113265264
22,4,0.5,1,270,0.00106989858366852,0.0843831963630005,0.01,0.785396513682066,0.775629553122733,-0.00976696055933279
22,4,0.5,1,270,0.00106989858366852,0.0843831963630005,0.1,0.766286671642032,0.757273991779935,-0.00901267986209731
22,4,0.5,2,269,0.0843831963630005,0.176173354898875,0.001,0.942722924536275,0.948880778025587,0.00615785348931175
22,4,0.5,2,269,0.0843831963630005,0.176173354898875,0.01,0.941614571920786,0.946387396591188,0.00477282467040185
22,4,0.5,2,269,0.0843831963630005,0.176173354898875,0.1,0.927194592124765,0.928944063087012,0.00174947096224687
22,4,0.5,3,270,0.176173354898875,0.59566386930443,0.001,0.794765507722152,0.797917201748055,0.00315169402590332
22,4,0.5,3,270,0.176173354898875,0.59566386930443,0.01,0.779860174362234,0.776719834666832,-0.00314033969540162
22,4,0.5,3,270,0.176173354898875,0.59566386930443,0.1,0.711646259543486,0.704739526300943,-0.00690673324254232
22,4,0.25,1,270,0.00106989858366852,0.0843831963630005,0.001,0.771748983810441,0.766320861314918,-0.00542812249552216
22,4,0.25,1,270,0.00106989858366852,0.0843831963630005,0.01,0.784044371257946,0.777235924899768,-0.00680844635817857
22,4,0.25,1,270,0.00106989858366852,0.0843831963630005,0.1,0.76877726799259,0.763235215897832,-0.00554205209475855
22,4,0.25,2,269,0.0843831963630005,0.176173354898875,0.001,0.912445311389818,0.921013099186741,0.00856778779692313
22,4,0.25,2,269,0.0843831963630005,0.176173354898875,0.01,0.915739297716756,0.922863148972538,0.0071238512557813
22,4,0.25,2,269,0.0843831963630005,0.176173354898875,0.1,0.902920805342165,0.905273395927174,0.00235259058500936
22,4,0.25,3,270,0.176173354898875,0.59566386930443,0.001,0.791817468873118,0.794906856835081,0.00308938796196334
22,4,0.25,3,270,0.176173354898875,0.59566386930443,0.01,0.789375971542456,0.785000677252046,-0.00437529429040984
22,4,0.25,3,270,0.176173354898875,0.59566386930443,0.1,0.717895622464007,0.709185893884301,-0.00870972857970553
22,5,0.75,1,139,0.000446553656486409,0.0930436863734006,0.001,0.888123511356753,0.88507839284653,-0.00304511851022349
22,5,0.75,1,139,0.000446553656486409,0.0930436863734006,0.01,0.903522551555195,0.902304160450727,-0.00121839110446786
22,5,0.75,1,139,0.000446553656486409,0.0930436863734006,0.1,0.896321385099947,0.89655131373133,0.000229928631383047
22,5,0.75,2,139,0.0930436863734006,0.232127863218786,0.001,0.740815567761466,0.743689741248278,0.0028741734868124
22,5,0.75,2,139,0.0930436863734006,0.232127863218786,0.01,0.763841840202292,0.769099513201849,0.00525767299955637
22,5,0.75,2,139,0.0930436863734006,0.232127863218786,0.1,0.770573378838944,0.774219486672066,0.00364610783312214
22,5,0.75,3,139,0.232127863218786,0.635226954328944,0.001,0.79282016921488,0.77528184585486,-0.0175383233600201
22,5,0.75,3,139,0.232127863218786,0.635226954328944,0.01,0.802572821579449,0.786503655153333,-0.0160691664261159
22,5,0.75,3,139,0.232127863218786,0.635226954328944,0.1,0.801014666747762,0.786049258691216,-0.014965408056545
22,5,0.5,1,139,0.000446553656486409,0.0930436863734006,0.001,0.901402923194164,0.899592643787544,-0.00181027940662015
22,5,0.5,1,139,0.000446553656486409,0.0930436863734006,0.01,0.925160694667199,0.924509932510983,-0.000650762156216622
22,5,0.5,1,139,0.000446553656486409,0.0930436863734006,0.1,0.916867962452445,0.917703079244648,0.000835116792202606
22,5,0.5,2,139,0.0930436863734006,0.232127863218786,0.001,0.677690510754619,0.688207963642503,0.0105174528878837
22,5,0.5,2,139,0.0930436863734006,0.232127863218786,0.01,0.700045905492506,0.713026206668263,0.0129803011757565
22,5,0.5,2,139,0.0930436863734006,0.232127863218786,0.1,0.680990926916072,0.692361332032618,0.0113704051165459
22,5,0.5,3,139,0.232127863218786,0.635226954328944,0.001,0.802428511327285,0.791449626564272,-0.0109788847630127
22,5,0.5,3,139,0.232127863218786,0.635226954328944,0.01,0.815038812028497,0.803349151743032,-0.0116896602854655
22,5,0.5,3,139,0.232127863218786,0.635226954328944,0.1,0.815291627968135,0.803341734497247,-0.0119498934708885
22,5,0.25,1,139,0.000446553656486409,0.0930436863734006,0.001,0.92602495824397,0.925762999881189,-0.000261958362781423
22,5,0.25,1,139,0.000446553656486409,0.0930436863734006,0.01,0.94561755914714,0.946283973336585,0.000666414189444908
22,5,0.25,1,139,0.000446553656486409,0.0930436863734006,0.1,0.932058392678615,0.934113410943538,0.00205501826492349
22,5,0.25,2,139,0.0930436863734006,0.232127863218786,0.001,0.680256741043982,0.69113179940579,0.0108750583618076
22,5,0.25,2,139,0.0930436863734006,0.232127863218786,0.01,0.698320915915323,0.710814357573899,0.0124934416585762
22,5,0.25,2,139,0.0930436863734006,0.232127863218786,0.1,0.67178459708463,0.684840277243246,0.0130556801586165
22,5,0.25,3,139,0.232127863218786,0.635226954328944,0.001,0.787280196454679,0.781698636698757,-0.00558155975592189
22,5,0.25,3,139,0.232127863218786,0.635226954328944,0.01,0.807797600153574,0.800633304053904,-0.00716429609966984
22,5,0.25,3,139,0.232127863218786,0.635226954328944,0.1,0.811091790767466,0.803252093802579,-0.00783969696488751
